,name,year,rating,ratingNum
0,肖申克的救赎,1994,9.7,2819028
1,霸王别姬,1993,9.6,2085109
2,阿甘正传,1994,9.5,2110995
3,泰坦尼克号,1997,9.5,2074963
4,这个杀手不太冷,1994,9.4,2245538
5,美丽人生,1997,9.6,1297380
6,千与千寻,2001,9.4,2187243
7,辛德勒的名单,1993,9.6,1080813
8,盗梦空间,2010,9.4,2016634
9,星际穿越,2014,9.4,1780015
10,楚门的世界,1998,9.4,1652000
11,忠犬八公的故事,2009,9.4,1369167
12,海上钢琴师,1998,9.3,1642280
13,三傻大闹宝莱坞,2009,9.2,1820393
14,放牛班的春天,2004,9.3,1283363
15,机器人总动员,2008,9.3,1288297
16,无间道,2002,9.3,1327384
17,疯狂动物城,2016,9.2,1878671
18,控方证人,1957,9.6,532995
19,大话西游之大圣娶亲,1995,9.2,1499265
20,熔炉,2011,9.4,912333
21,教父,1972,9.3,942025
22,当幸福来敲门,2006,9.2,1487350
23,触不可及,2011,9.3,1082436
24,怦然心动,2010,9.1,1792059
